Open time,Open,High,Low,Close,Volume
2019-08-01 00:00:00,10081.0,10153.0,10035.5,10039.0,1092.5546
2019-08-01 01:00:00,10039.0,10056.0,9985.5,10019.0,1306.7857
2019-08-01 02:00:00,10019.0,10038.5,9995.5,10025.0,746.9635
2019-08-01 03:00:00,10025.0,10025.0,9970.5,9987.0,712.8843
2019-08-01 04:00:00,9987.0,10001.5,9939.0,9974.0,754.1221
2019-08-01 05:00:00,9974.0,9988.0,9888.0,9914.0,899.3228
2019-08-01 06:00:00,9914.0,9969.0,9882.0,9952.499999999998,997.315
2019-08-01 07:00:00,9952.5,9988.0,9934.5,9962.999999999998,871.4865
2019-08-01 08:00:00,9963.0,9993.0,9954.0,9970.5,708.3102
2019-08-01 09:00:00,9970.5,9971.0,9923.5,9969.0,569.7459
2019-08-01 10:00:00,9969.0,9969.5,9905.5,9938.5,585.551
2019-08-01 11:00:00,9938.5,9976.5,9927.0,9960.0,593.2451
2019-08-01 12:00:00,9960.0,10032.5,9959.0,10018.0,1025.1447
2019-08-01 13:00:00,10018.0,10058.0,10006.0,10038.5,815.0026
2019-08-01 14:00:00,10038.5,10044.0,9973.5,9986.5,649.9938
2019-08-01 15:00:00,9986.5,10016.5,9953.5,10011.5,703.0874
2019-08-01 16:00:00,10011.5,10055.0,9990.999999999998,10047.0,842.5922
2019-08-01 17:00:00,10047.0,10100.0,10010.5,10086.5,883.3209
2019-08-01 18:00:00,10086.500000000002,10186.5,10068.5,10164.5,894.8766
2019-08-01 19:00:00,10164.5,10302.0,10164.5,10275.5,922.6686
2019-08-01 20:00:00,10275.5,10481.0,10266.5,10385.0,1170.3101
2019-08-01 21:00:00,10385.0,10422.0,10348.0,10398.5,571.2914
2019-08-01 22:00:00,10398.5,10425.0,10350.0,10372.5,539.4865
2019-08-01 23:00:00,10372.5,10408.0,10355.5,10370.0,570.1328
2019-08-02 00:00:00,10370.0,10438.0,10313.5,10371.0,802.0352
2019-08-02 01:00:00,10371.0,10394.0,10355.5,10377.5,637.5399
2019-08-02 02:00:00,10377.5,10400.0,10371.0,10373.5,627.8501
2019-08-02 03:00:00,10373.5,10386.0,10330.0,10334.0,920.2514
2019-08-02 04:00:00,10334.0,10389.0,10315.5,10369.0,724.1182
2019-08-02 05:00:00,10369.0,10429.0,10361.5,10426.5,781.0019
2019-08-02 06:00:00,10426.5,10495.5,10415.5,10455.5,1157.0483
2019-08-02 07:00:00,10455.5,10568.500000000002,10453.499999999998,10525.5,916.1746
2019-08-02 08:00:00,10525.5,10529.0,10462.5,10499.0,902.1822
2019-08-02 09:00:00,10499.0,10539.0,10438.0,10441.0,1367.6345
2019-08-02 10:00:00,10441.0,10510.0,10441.0,10495.0,1044.8053
2019-08-02 11:00:00,10495.0,10531.0,10462.5,10462.5,805.4607
2019-08-02 12:00:00,10462.5,10558.5,10461.5,10545.500000000002,808.5708
2019-08-02 13:00:00,10545.5,10557.5,10510.0,10533.5,674.7961
2019-08-02 14:00:00,10533.5,10587.0,10502.5,10578.5,552.9101
2019-08-02 15:00:00,10578.5,10642.0,10543.5,10610.5,962.9189
2019-08-02 16:00:00,10610.500000000002,10677.0,10366.0,10417.5,1602.8172
2019-08-02 17:00:00,10417.5,10472.0,10390.0,10438.5,736.7066
2019-08-02 18:00:00,10438.5,10480.0,10410.0,10454.0,654.4161
